time,pm2_5,pm10,carbon_monoxide,dust,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure
2023-01-01 00:00:00,30.0,43.1,1917.0,0.0,20.3,73,1.9,68,0.0,981.9
2023-01-01 01:00:00,30.6,43.9,2051.0,0.0,19.0,80,3.3,41,0.0,981.5
2023-01-01 02:00:00,31.7,45.4,2101.0,0.0,17.3,89,5.5,328,0.0,981.1
2023-01-01 03:00:00,32.8,47.1,2120.0,0.0,18.7,80,4.2,340,0.0,980.9
2023-01-01 04:00:00,33.2,47.7,2173.0,0.0,18.8,80,0.7,90,0.0,980.8
2023-01-01 05:00:00,33.4,47.8,2335.0,0.0,18.1,83,3.2,297,0.0,981.0
2023-01-01 06:00:00,34.2,49.1,2541.0,0.0,17.8,85,2.9,277,0.0,981.4
2023-01-01 07:00:00,37.6,53.9,2422.0,0.0,16.6,91,3.4,302,0.0,982.4
2023-01-01 08:00:00,43.7,62.6,2017.0,0.0,18.0,88,1.4,270,0.0,983.3
2023-01-01 09:00:00,32.9,47.5,1441.0,0.0,20.2,78,1.3,236,0.0,984.6
2023-01-01 10:00:00,19.7,28.5,815.0,0.0,21.9,68,1.8,180,0.0,984.9
2023-01-01 11:00:00,15.5,22.6,620.0,0.0,23.2,64,3.3,167,0.0,984.4
2023-01-01 12:00:00,15.4,22.5,552.0,0.0,24.3,60,6.2,170,0.0,983.5
2023-01-01 13:00:00,15.6,22.8,509.0,0.0,24.8,57,6.4,164,0.0,982.3
2023-01-01 14:00:00,15.1,22.1,434.0,0.0,25.3,54,6.1,152,0.0,981.2
2023-01-01 15:00:00,14.2,20.7,371.0,0.0,25.7,53,5.4,138,0.0,980.5
2023-01-01 16:00:00,13.3,19.4,432.0,0.0,25.6,53,4.7,113,0.0,980.2
2023-01-01 17:00:00,14.1,20.6,659.0,0.0,24.9,55,5.5,101,0.0,980.2
2023-01-01 18:00:00,21.5,31.1,995.0,0.0,23.3,64,5.0,60,0.0,980.4
2023-01-01 19:00:00,24.1,34.7,1404.0,0.0,21.3,74,6.5,357,0.0,980.2
2023-01-01 20:00:00,29.5,42.4,1687.0,0.0,21.6,71,5.0,21,0.0,981.2
2023-01-01 21:00:00,33.2,47.6,2089.0,0.0,21.4,71,4.2,20,0.0,982.0
2023-01-01 22:00:00,36.6,52.5,2522.0,0.0,19.1,82,6.5,341,0.0,982.1
2023-01-01 23:00:00,39.9,57.4,2662.0,0.0,19.1,80,7.0,339,0.0,982.2
2023-01-02 00:00:00,40.5,58.2,2715.0,0.0,18.5,82,6.8,342,0.0,981.7
2023-01-02 01:00:00,38.5,55.3,2695.0,0.0,17.5,85,7.4,346,0.0,981.2
2023-01-02 02:00:00,35.4,50.6,2590.0,0.0,18.7,79,4.6,342,0.0,981.1
2023-01-02 03:00:00,32.2,46.2,2420.0,0.0,16.3,87,4.7,328,0.0,980.4
2023-01-02 04:00:00,30.3,43.3,2262.0,0.0,16.0,86,5.6,333,0.0,980.4
2023-01-02 05:00:00,30.0,43.2,2309.0,0.0,15.9,85,6.1,332,0.0,980.8
2023-01-02 06:00:00,31.3,44.9,2427.0,0.0,16.0,83,5.2,326,0.0,981.4
2023-01-02 07:00:00,31.9,45.9,2342.0,0.0,14.5,92,6.6,331,0.0,982.7
2023-01-02 08:00:00,37.5,53.8,2076.0,0.0,17.0,84,4.0,333,0.0,984.1
2023-01-02 09:00:00,33.2,47.6,1696.0,0.0,19.3,76,1.1,342,0.0,985.5
2023-01-02 10:00:00,24.9,35.9,1222.0,0.0,21.8,62,1.0,225,0.0,986.0
2023-01-02 11:00:00,15.5,22.6,952.0,0.0,23.7,53,1.8,127,0.0,985.4
2023-01-02 12:00:00,13.4,19.5,713.0,0.0,25.0,47,3.4,108,0.0,984.5
2023-01-02 13:00:00,11.9,17.4,482.0,0.0,25.8,43,3.3,131,0.0,983.5
2023-01-02 14:00:00,10.8,15.7,366.0,0.0,26.3,42,2.7,157,0.0,982.1
2023-01-02 15:00:00,9.8,14.4,302.0,0.0,26.4,43,2.5,188,0.0,981.1
2023-01-02 16:00:00,9.1,13.4,392.0,0.0,26.3,43,3.4,212,0.0,980.7
2023-01-02 17:00:00,9.8,14.3,660.0,0.0,25.7,50,3.1,216,0.0,980.8
2023-01-02 18:00:00,19.5,28.1,1058.0,0.0,22.5,60,6.5,214,0.0,980.9
2023-01-02 19:00:00,24.0,34.5,1550.0,0.0,23.4,51,4.7,212,0.0,981.5
2023-01-02 20:00:00,30.9,44.4,1833.0,0.0,22.6,55,4.0,85,0.0,982.4
2023-01-02 21:00:00,32.9,47.3,2233.0,0.0,19.2,72,6.3,347,0.0,982.8
2023-01-02 22:00:00,32.2,46.2,2584.0,0.0,19.0,71,6.0,343,0.0,983.0
2023-01-02 23:00:00,29.5,42.3,2539.0,0.0,18.0,76,7.9,344,0.0,982.9
2023-01-03 00:00:00,26.3,37.6,2339.0,0.0,17.7,77,5.6,345,0.0,982.6
2023-01-03 01:00:00,23.9,34.2,2055.0,0.0,17.6,75,6.6,338,0.0,982.3
2023-01-03 02:00:00,22.2,31.9,1896.0,0.0,17.0,76,6.2,339,0.0,981.6
2023-01-03 03:00:00,21.0,30.2,1738.0,0.0,16.6,75,6.1,332,0.0,981.1
2023-01-03 04:00:00,20.0,28.7,1568.0,0.0,16.5,74,6.8,335,0.0,981.1
2023-01-03 05:00:00,19.2,27.5,1506.0,0.0,16.4,74,6.1,332,0.0,981.4
2023-01-03 06:00:00,18.6,26.7,1479.0,0.0,15.9,76,5.0,330,0.0,981.9
2023-01-03 07:00:00,18.9,27.2,1430.0,0.0,16.1,77,5.5,328,0.0,983.1
2023-01-03 08:00:00,20.8,29.9,1307.0,0.0,17.6,72,6.0,335,0.0,984.1
2023-01-03 09:00:00,19.3,27.6,1131.0,0.0,19.6,66,2.9,360,0.0,985.2
2023-01-03 10:00:00,17.1,24.5,900.0,0.0,21.4,61,2.0,45,0.0,985.6
2023-01-03 11:00:00,14.4,20.7,749.0,0.0,22.1,60,2.1,121,0.0,985.3
2023-01-03 12:00:00,13.8,19.9,603.0,0.0,22.9,59,4.4,145,0.0,984.3
2023-01-03 13:00:00,14.5,21.0,458.0,0.0,23.9,56,4.6,162,0.0,983.2
2023-01-03 14:00:00,14.9,21.6,378.0,0.0,24.8,53,4.7,171,0.0,981.8
2023-01-03 15:00:00,13.6,19.7,325.0,0.0,25.1,53,4.9,163,0.0,980.8
2023-01-03 16:00:00,13.0,18.9,397.0,0.0,24.8,55,4.0,170,0.0,980.3
2023-01-03 17:00:00,14.5,21.0,616.0,0.0,24.2,57,3.7,169,0.0,980.2
2023-01-03 18:00:00,21.1,30.4,939.0,0.0,22.7,67,3.3,193,0.0,980.7
2023-01-03 19:00:00,23.9,34.3,1406.0,0.0,21.2,75,5.5,169,0.0,981.0
2023-01-03 20:00:00,30.5,43.7,1596.0,0.0,20.4,80,5.2,205,0.0,982.0
2023-01-03 21:00:00,32.2,46.2,1867.0,0.0,20.6,75,4.7,261,0.0,982.6
2023-01-03 22:00:00,33.2,47.6,2153.0,0.0,20.9,71,3.2,297,0.0,982.9
2023-01-03 23:00:00,34.8,49.9,2236.0,0.0,19.7,77,2.4,333,0.0,982.6
2023-01-04 00:00:00,36.7,52.6,2256.0,0.0,18.9,81,3.2,333,0.0,982.5
2023-01-04 01:00:00,37.5,53.7,2226.0,0.0,17.9,85,4.8,333,0.0,982.5
2023-01-04 02:00:00,38.2,54.7,2166.0,0.0,17.6,86,5.5,328,0.0,981.7
2023-01-04 03:00:00,38.1,54.4,2070.0,0.0,17.2,87,5.8,338,0.0,981.2
2023-01-04 04:00:00,34.8,49.8,1925.0,0.0,17.1,87,4.7,328,0.0,980.8
2023-01-04 05:00:00,30.7,44.1,1826.0,0.0,16.5,89,4.4,325,0.0,981.0
2023-01-04 06:00:00,27.5,39.5,1722.0,0.0,16.4,89,4.1,322,0.0,981.2
2023-01-04 07:00:00,24.9,35.7,1489.0,0.0,16.5,91,4.1,322,0.0,982.4
2023-01-04 08:00:00,26.4,38.0,1310.0,0.0,18.6,82,3.7,331,0.0,983.7
2023-01-04 09:00:00,23.9,34.2,1054.0,0.0,20.7,75,2.2,351,0.0,984.6
2023-01-04 10:00:00,17.6,25.3,755.0,0.0,22.9,67,1.8,360,0.0,984.8
2023-01-04 11:00:00,15.7,22.8,619.0,0.0,24.9,59,1.8,90,0.0,984.2
2023-01-04 12:00:00,15.1,21.8,521.0,0.0,26.0,56,3.7,119,0.0,983.1
2023-01-04 13:00:00,14.0,20.3,433.0,0.0,26.3,55,4.8,132,0.0,982.0
2023-01-04 14:00:00,14.0,20.3,368.0,0.0,26.4,54,5.4,160,0.0,980.7
2023-01-04 15:00:00,13.8,20.0,322.0,0.0,27.0,51,5.5,169,0.0,979.7
2023-01-04 16:00:00,13.5,19.6,408.0,0.0,27.3,49,6.6,139,0.0,979.4
2023-01-04 17:00:00,14.3,20.7,646.0,0.0,26.1,53,7.4,129,0.0,979.5
2023-01-04 18:00:00,20.8,30.0,993.0,0.0,23.0,71,7.1,139,0.0,979.4
2023-01-04 19:00:00,26.4,38.0,1380.0,0.0,23.2,68,2.9,187,0.0,979.9
2023-01-04 20:00:00,32.2,46.3,1712.0,0.0,22.0,75,2.5,315,0.0,981.0
2023-01-04 21:00:00,36.4,52.2,2182.0,0.0,21.9,74,3.1,324,0.0,981.7
